一级分类,品名,最低价,最高价,平均价,产地,单位,发布日期
水果,贵妃梨,2.0,3.0,2.5,,斤,2022-12-31
水果,秋月梨,5.5,6.5,6.0,,斤,2022-12-31
水果,蜜桔,3.0,3.8,3.4,,斤,2022-12-31
水果,小叶桔,2.6,3.2,2.9,,斤,2022-12-31
水果,沙糖桔,4.0,6.5,5.25,,斤,2022-12-31
水果,耙耙柑、丑橘,4.5,7.5,6.0,,斤,2022-12-31
水果,爱媛,5.5,7.5,6.5,,斤,2022-12-31
水果,鄂、湘、川脐橙,2.8,5.0,3.9,,斤,2022-12-31
水果,赣南脐橙,2.8,5.0,3.9,,斤,2022-12-31
水果,沃柑,5.5,6.5,6.0,,斤,2022-12-31
水果,芦柑,2.5,3.0,2.75,,斤,2022-12-31
水果,金桔,4.0,12.0,8.0,,斤,2022-12-31
水果,蜜柚,2.0,3.0,2.5,,斤,2022-12-31
水果,红心蜜柚,2.8,3.8,3.3,,斤,2022-12-31
水果,葡萄柚,2.8,3.5,3.15,,斤,2022-12-31
水果,猕猴桃,6.0,7.0,6.5,,斤,2022-12-31
水果,猕猴桃,3.0,5.0,4.0,,斤,2022-12-31
水果,猕猴桃,2.6,3.0,2.8,,斤,2022-12-31
水果,无籽小号-大号,1.7,2.0,1.85,,斤,2022-12-31
水果,麒麟,5.0,6.0,5.5,,斤,2022-12-31
水果,黑美人,2.8,3.0,2.9,,斤,2022-12-31
水果,特小凤,3.5,4.0,3.75,,斤,2022-12-31
水果,甜王,2.4,2.6,2.5,,斤,2022-12-31
水果,国产香蕉,3.0,3.8,3.4,,斤,2022-12-31
水果,南美、菲律宾香蕉,4.0,4.5,4.25,,斤,2022-12-31
水果,泰国香蕉,14.0,16.0,15.0,,斤,2022-12-31
水果,晓蜜25号,2.5,2.8,2.65,,斤,2022-12-31
水果,玉菇,2.5,2.8,2.65,,斤,2022-12-31
水果,网纹,4.5,5.5,5.0,,斤,2022-12-31
水果,久红瑞,2.5,3.0,2.75,,斤,2022-12-31
水果,羊角蜜,6.0,6.5,6.25,,斤,2022-12-31
水果,绿宝甜瓜,5.5,6.0,5.75,,斤,2022-12-31
水果,博阳,5.5,6.0,5.75,,斤,2022-12-31
水果,富士,3.2,3.8,3.5,,斤,2022-12-31
水果,富士,3.5,5.5,4.5,,斤,2022-12-31
水果,富士,2.6,3.6,3.1,,斤,2022-12-31
水果,黄元帅,3.0,3.8,3.4,,斤,2022-12-31
水果,花牛,2.5,5.5,4.0,,斤,2022-12-31
水果,阿克苏,5.0,7.0,6.0,新疆,斤,2022-12-31
肉禽蛋,五花肉,15.0,16.0,15.5,,斤,2022-12-31
肉禽蛋,五花肉,13.0,14.0,13.5,,斤,2022-12-31
肉禽蛋,五花头,11.0,12.0,11.5,,斤,2022-12-31
肉禽蛋,纯通脊,14.0,14.5,14.25,,斤,2022-12-31
肉禽蛋,通脊,11.5,12.5,12.0,,斤,2022-12-31
肉禽蛋,小里脊,16.0,17.0,16.5,,斤,2022-12-31
肉禽蛋,梅花肉,14.5,15.5,15.0,,斤,2022-12-31
肉禽蛋,纯瘦肉,12.0,13.0,12.5,,斤,2022-12-31
肉禽蛋,护心肉,16.0,16.0,16.0,,斤,2022-12-31
肉禽蛋,前肘,12.5,14.0,13.25,,斤,2022-12-31
肉禽蛋,后肘（带骨）,8.0,10.0,9.0,,斤,2022-12-31
肉禽蛋,后肘（去骨）,12.0,12.5,12.25,,斤,2022-12-31
肉禽蛋,猪尾巴,48.0,50.0,49.0,,斤,2022-12-31
肉禽蛋,猪蹄,23.0,24.0,23.5,,斤,2022-12-31
肉禽蛋,纯排骨,25.0,28.0,26.5,,斤,2022-12-31
肉禽蛋,纯腔骨,9.0,12.0,10.5,,斤,2022-12-31
肉禽蛋,腔排骨,16.0,18.0,17.0,,斤,2022-12-31
肉禽蛋,梅花骨,12.0,14.0,13.0,,斤,2022-12-31
肉禽蛋,棒骨,10.0,12.0,11.0,,斤,2022-12-31
肉禽蛋,猪头,11.0,11.0,11.0,,斤,2022-12-31
水果,国光,2.8,3.6,3.2,,斤,2022-12-31
水果,王林,3.0,3.5,3.25,,斤,2022-12-31
水果,寒富苹果,2.5,3.0,2.75,辽宁,斤,2022-12-31
水果,阳光玫瑰,10.0,25.0,17.5,,斤,2022-12-31
水果,克伦生,6.0,10.0,8.0,,斤,2022-12-31
水果,红宝石,6.0,9.0,7.5,,斤,2022-12-31
水果,红提,6.0,8.0,7.0,,斤,2022-12-31
水果,辽峰,7.0,12.0,9.5,,斤,2022-12-31
水果,巨峰,3.5,4.5,4.0,,斤,2022-12-31
水果,台农,9.0,10.0,9.5,,斤,2022-12-31
水果,青皮芒,7.0,8.0,7.5,,斤,2022-12-31
水果,凯特,8.0,10.0,9.0,,斤,2022-12-31
水果,高乐蜜,7.0,8.0,7.5,,斤,2022-12-31
水果,水仙芒,10.0,11.0,10.5,,斤,2022-12-31
肉禽蛋,白条猪,11.75,11.75,11.75,,斤,2022-12-31
肉禽蛋,白条猪,10.0,10.0,10.0,,斤,2022-12-31
肉禽蛋,前臀尖,11.0,12.0,11.5,,斤,2022-12-31
肉禽蛋,前臀尖,10.0,11.0,10.5,,斤,2022-12-31
肉禽蛋,后臀尖,11.0,12.0,11.5,,斤,2022-12-31
肉禽蛋,后臀尖,10.0,11.0,10.5,,斤,2022-12-31
肉禽蛋,猪口条,18.0,18.0,18.0,,斤,2022-12-31
肉禽蛋,猪耳,29.0,29.0,29.0,,斤,2022-12-31
肉禽蛋,猪脑,20.0,23.0,21.5,,斤,2022-12-31
肉禽蛋,猪肚,26.0,26.0,26.0,,斤,2022-12-31
肉禽蛋,猪板油,7.5,8.0,7.75,,斤,2022-12-31
肉禽蛋,肥膘肉,5.0,6.0,5.5,,斤,2022-12-31
肉禽蛋,猪腰子,13.0,13.0,13.0,,斤,2022-12-31
肉禽蛋,猪心,9.0,9.0,9.0,,斤,2022-12-31
肉禽蛋,猪肝,6.0,6.0,6.0,,斤,2022-12-31
肉禽蛋,猪肺,3.0,3.0,3.0,,个,2022-12-31
肉禽蛋,猪皮,3.0,5.0,4.0,,斤,2022-12-31
肉禽蛋,猪肠头,20.0,20.0,20.0,,斤,2022-12-31
